Date,Hour,Footfall
2022-01-07,9,47
2022-01-07,10,13
2022-01-07,11,26
2022-01-07,12,42
2022-01-07,13,27
2022-01-07,14,19
2022-01-07,15,20
2022-01-07,16,34
2022-01-07,17,45
2022-01-07,18,7
2022-01-07,19,42
2022-01-07,20,48
2022-01-07,21,38
2022-01-07,22,36
2022-01-07,23,35
2022-01-08,0,28
2022-01-08,1,25
2022-01-08,2,39
2022-01-08,3,23
2022-01-08,4,23
2022-01-08,5,32
2022-01-08,6,33
2022-01-08,7,21
2022-01-08,8,42
2022-01-08,9,10
2022-01-08,10,8
2022-01-08,11,9
2022-01-08,12,46
2022-01-08,13,46
2022-01-08,14,42
2022-01-08,15,34
2022-01-08,16,15
2022-01-08,17,14
2022-01-08,18,30
2022-01-08,19,24
2022-01-08,20,13
2022-01-08,21,8
